artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,S,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,M,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,L,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,2XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,3XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,Balloon Arch Tee,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,Balloon Arch Tee,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,Balloon Arch Tee,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,Balloon Arch Tee,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-03-12,0,,Lancaster,PA,United States,,Balloon Arch Tee,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
